rowid,artist,album,track,genre,release_year,null_response,duration_ms,time_signature,tempo,key,mode,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,popularity,song_age,popularity_per_year
102208188,Mighty Spoiler,Calypsos by the Mighty Spoiler,Mad Scientist (What the Scientist Say),calypso,1960,0,185377,,82.214,10,1,0.556,0.607,-8.204,0.194,0.984,1.06e-05,0.406,0.941,1.0,66,0.0152
104122901,Elmore James,Shake Your Money Maker: The Best of the Fire Sessions,Rollin' and Tumblin',blues,1960,0,152425,,102.873,7,1,0.427,0.815,-6.043,0.0319,0.000236,0.00634,0.174,0.882,5.0,66,0.0758
2771516,Junior Wells,Messin' with the Kid,Messin' with the Kid,blues,1960,0,135960,,135.213,0,0,0.833,0.683,-6.849,0.0467,0.718,9.82e-05,0.182,0.896,1.0,66,0.0152
7102782,Walter Wanderley,Sucessos Dançantes Em Ritmo De Romance,Io,bossa nova,1960,0,155097,,120.343,9,0,0.358,0.239,-11.761,0.0364,0.923,0.899,0.112,0.362,1.0,66,0.0152
75115395,Mississippi John Hurt,Satisfied,Salty Dog,country blues,1960,0,206592,,107.24,2,1,0.714,0.226,-19.104,0.0394,0.965,0.567,0.742,0.721,2.0,66,0.0303
124896002,Sammy Davis Jr.,I Gotta Right To Swing,I Got A Woman,big band,1960,0,269067,,109.142,7,1,0.523,0.514,-13.396,0.046,0.492,0.000248,0.205,0.817,6.0,66,0.0909
49821707,The Broom Dusters,Blues After Hours,Late Hours at Midnight,blues,1960,0,168733,,115.14,9,1,0.821,0.562,-5.505,0.0342,0.849,0.000307,0.0741,0.806,2.0,66,0.0303
123360547,Paul Anka,Swings For Young Lovers (Remastered),Love Is Just Around The Corner - Remastered,adult standards,1960,0,130827,,136.514,3,1,0.452,0.367,-11.303,0.0342,0.672,0.0,0.13,0.829,2.0,66,0.0303
59848548,Kenny Burrell Trio,A Night At The Vanguard,"Soft Winds - Live At The Village Vanguard, New York / 1959",cool jazz,1960,0,200227,,88.73,10,0,0.476,0.147,-24.262,0.0765,0.847,0.825,0.727,0.681,10.0,66,0.1515
752423,Paul & Paula,Don't Let It End,Don't Let It End,doo-wop,1960,0,123853,,100.249,0,1,0.63,0.301,-10.051,0.0267,0.929,0.0,0.115,0.646,7.0,66,0.1061
35452990,Alvin & The Chipmunks,Sing Again With The Chipmunks,Working On The Railroad,christmas,1960,0,114213,,118.106,5,1,0.704,0.624,-7.561,0.0407,0.558,0.0118,0.0815,0.947,13.0,66,0.197
122038785,Bobby Darin,For Teenagers Only,All the Way Home,big band,1960,0,112800,,93.885,8,0,0.635,0.638,-12.394,0.132,0.925,0.000134,0.297,0.883,14.0,66,0.2121
5440001,Collegiate Chorale,Leonard Bernstein: The Complete Mahler Symphonies,"Symphony No. 2 in C Minor ""Resurrection"": V. Finale. Im Tempo des Scherzos",classical,1960,0,2022200,,69.694,1,1,0.0957,0.136,-17.477,0.0388,0.892,0.623,0.0866,0.037,23.0,66,0.3485
2736888,Sister Rosetta Tharpe,Sister Rosetta Tharpe,Without Him,blues,1960,0,163000,,137.334,5,1,0.441,0.322,-10.65,0.0291,0.791,8.52e-06,0.131,0.424,1.0,66,0.0152
2588687,Cliff Richard,Me And My Shadows/Listen To Cliff,Almost Like Being in Love - Mono; 1998 Remaster,christmas,1960,0,125107,,166.194,7,1,0.455,0.522,-6.092,0.075,0.664,0.0,0.0523,0.755,3.0,66,0.0455
88704046,Daphne Walker,Sea Breeze,Analani E,exotica,1960,0,141177,,171.464,4,1,0.406,0.465,-10.007,0.0313,0.858,0.0,0.524,0.693,1.0,66,0.0152
5165850,Charlie Parker,Volume II,Out of Nowhere,bebop,1960,0,199403,,161.025,7,1,0.43,0.329,-13.478,0.0561,0.932,0.555,0.266,0.693,1.0,66,0.0152
2736885,Sister Rosetta Tharpe,Sister Rosetta Tharpe,If You Believe,blues,1960,0,105920,,141.28,0,1,0.564,0.482,-9.216,0.0402,0.74,0.0,0.101,0.806,1.0,66,0.0152
76362104,Axel Stordahl And His Orchestra,Show Time,People Will Say We're in Love (with Axel Stordahl & His Orchestra),exotica,1960,0,171467,,110.679,6,1,0.441,0.102,-14.723,0.0393,0.899,1.69e-06,0.119,0.271,6.0,66,0.0909
124621953,Charles Aznavour,Les deux guitares,La nuit,chanson,1960,0,181213,,116.364,2,0,0.425,0.221,-13.26,0.035,0.779,0.0,0.188,0.349,9.0,66,0.1364
30259257,The Modern Jazz Quartet,Third Stream Music,Exposure,cool jazz,1960,0,580773,,120.416,1,1,0.357,0.0783,-23.902,0.0393,0.916,0.0046,0.15,0.0789,4.0,66,0.0606
2467861,Chad Mitchell Trio,Belafonte Returns to Carnegie Hall (Live),The Ballad of Sigmund Freud - Live,folk,1960,0,219641,,144.543,8,1,0.607,0.878,-11.492,0.939,0.743,0.0,0.984,0.589,9.0,66,0.1364
60295734,Don Ralke,The Savage And The Sensuous Bongos,Black Panther,exotica,1960,0,198360,,183.369,0,0,0.596,0.22,-28.085,0.0429,0.323,0.274,0.104,0.711,23.0,66,0.3485
5440040,New York Philharmonic,Leonard Bernstein Conducts Mahler,"Symphony No. 1 in D Major ""Titan"": III. Feierlich und gemessen, ohne zu schleppen",classical,1960,0,619640,,121.503,9,0,0.193,0.0432,-28.073,0.0436,0.901,0.845,0.11,0.15,1.0,66,0.0152
32067493,Bhimsen Joshi,Jata Pandharisi Abhang Vani,Aarambhi Vandin Ayodhyecha Raja,bhajan,1960,0,453933,,148.148,9,1,0.302,0.341,-16.429,0.0326,0.654,0.0,0.188,0.536,11.0,66,0.1667
102860873,Camille Howard,Blues & Boogie,Has Your Love Grown Cold,boogie-woogie,1960,0,159190,,96.389,8,1,0.631,0.308,-6.59,0.0518,0.558,3.08e-05,0.205,0.388,2.0,66,0.0303
6893507,London Symphony Orchestra,Copland: Super Hits,Fanfare for the Common Man,classical,1960,0,195627,,54.869,10,1,0.141,0.185,-15.699,0.0481,0.982,0.948,0.0719,0.0379,36.0,66,0.5455
759201,The Everly Brothers,The Fabulous Style Of The Everly Brothers,Brand New Heartache,doo-wop,1960,0,136707,,103.32,4,1,0.539,0.408,-9.444,0.0282,0.576,1.23e-05,0.159,0.701,12.0,66,0.1818
229371670,Bhimsen Joshi,Jata Pandharisi Abhang Vani,Sagunachi Shej Nirgunachi Baaj,bhajan,1960,0,398813,,117.945,7,1,0.34,0.224,-17.155,0.0328,0.946,0.000311,0.11,0.474,22.0,66,0.3333
62167573,Si Zentner,Suddenly It's Swing,Just-A-Wearyin' For You,exotica,1960,0,184800,,136.21,7,0,0.502,0.453,-13.744,0.0402,0.422,3.56e-06,0.066,0.666,1.0,66,0.0152
47470933,Al Caiola,Italian Guitars,Tarantella,exotica,1960,0,115612,,99.819,8,1,0.556,0.842,-12.921,0.0461,0.311,5.15e-05,0.293,0.831,1.0,66,0.0152
24078649,Vladimir Ashkenazy,Chopin: Etudes,"Études, Op. 10: No. 8 in F Major",classical piano,1960,0,140773,,85.56,5,1,0.282,0.204,-18.43,0.0309,0.989,0.841,0.101,0.275,3.0,66,0.0455
124621963,Charles Aznavour,C'est ça,C'est ça,chanson,1960,0,159773,,182.297,0,1,0.42,0.424,-8.42,0.0478,0.714,0.0,0.172,0.841,4.0,66,0.0606
83847346,"Melvin ""Lil' Son"" Jackson",Blues Come to Texas,Gambler Blues,blues,1960,0,144867,,107.021,2,0,0.776,0.25,-13.022,0.0342,0.959,0.000764,0.11,0.735,1.0,66,0.0152
44126212,Hebe Camargo,Sou Eu,Encontro Com A Saudade,bossa nova,1960,0,154627,,94.618,0,1,0.551,0.22,-8.956,0.0344,0.887,0.0,0.263,0.318,1.0,66,0.0152
111226082,Johnny Cash,Sings Hank Williams and Other Favorite Tunes (2017 Definitive Expanded Remastered Edition),I Love You Because (Un-overdubbed Take 1) (2017 Remaster),country,1960,0,144105,,123.595,8,1,0.657,0.352,-13.635,0.0578,0.518,0.000124,0.12,0.688,2.0,66,0.0303
47751699,Piero Cavalli,Madrigaux joyeux de la Renaissance italienne (Mono Version),"Il secondo libro di canzonette: No. 1, Mentre il cuculo",choral,1960,0,96652,,79.008,7,1,0.409,0.18,-12.351,0.0368,0.995,1.34e-05,0.35,0.371,1.0,66,0.0152
49821706,The Broom Dusters,Blues After Hours,Goodbye,blues,1960,0,179707,,200.114,2,1,0.435,0.559,-5.312,0.0304,0.764,0.0992,0.0796,0.674,5.0,66,0.0758
97016557,Art Pepper Quintet,Smack Up,How Can You Lose,cool jazz,1960,0,411840,,117.95,9,0,0.684,0.231,-11.042,0.0428,0.721,0.0015,0.0968,0.517,5.0,66,0.0758
48493473,The Three Suns,On A Magic Carpet,Lisbon Antiqua,exotica,1960,0,167080,,151.497,7,1,0.459,0.377,-7.036,0.0315,0.312,0.916,0.0605,0.751,3.0,66,0.0455
34414510,Burl Ives,Return of the Wayfaring Stranger (Expanded Edition),Greer County Bachelor,christmas,1960,0,175533,,133.546,0,1,0.505,0.187,-12.99,0.0379,0.526,0.000241,0.134,0.418,4.0,66,0.0606
2527522,The Jive Five,Hurry Back,When I Was Single,doo-wop,1960,0,129840,,146.112,7,1,0.532,0.704,-7.894,0.0375,0.234,0.0,0.428,0.961,1.0,66,0.0152
219085419,Maynard Ferguson,Let's Face the Music and Dance,Let's Do It,big band,1960,0,190707,,118.373,3,1,0.581,0.337,-11.19,0.0551,0.434,0.666,0.0653,0.583,2.0,66,0.0303
79681222,The Kingston Trio,String Along,"This Mornin', This Evenin', So Soon",folk,1960,0,190667,,125.679,6,1,0.486,0.0986,-16.954,0.0376,0.905,5.02e-05,0.112,0.234,4.0,66,0.0606
8162488,B.B. King,B.B. King Sings Spirituals,Army of the Lord,blues,1960,0,186907,,114.92,0,1,0.622,0.887,-6.566,0.238,0.701,3.04e-06,0.255,0.684,3.0,66,0.0455
15930842,Alexander Schreiner,Rock of Ages - 30 Favorite Hymns (with The Philadelphia Brass Ensemble & Percussion & Alexander Schreiner),"Lead, Kindly Light - Voice",choral,1960,0,115427,,94.581,8,1,0.309,0.0579,-27.501,0.0334,0.989,0.0,0.132,0.293,12.0,66,0.1818
87478859,Jackson Do Pandeiro,Jackson Do Pandeiro Volume 2: Chiclete Com Banana!,Forró Do Surubim,forró,1960,0,179373,,99.877,2,0,0.565,0.994,3.498,0.0403,0.287,0.0,0.116,0.981,1.0,66,0.0152
96799831,The Brothers Four,Rally 'Round!,Nine Pound Hammer,folk,1960,0,165120,,62.638,6,1,0.337,0.442,-11.451,0.037,0.872,0.0,0.0968,0.668,5.0,66,0.0758
7110773,Henry Mancini,The Blues and the Beat,Let's Walk,exotica,1960,0,187826,,123.403,10,1,0.614,0.307,-13.896,0.0329,0.876,0.405,0.0933,0.57,4.0,66,0.0606
55190639,Astrid Lindgren Deutsch,Die schönsten Geschichten von Astrid Lindgren,Kapitel 02: Michel bringt die Welt in Ordnung.3 - Die schönsten Geschichten von Astrid Lindgren,children's music,1960,0,282200,,124.729,3,1,0.714,0.315,-14.791,0.936,0.818,0.0,0.166,0.518,1.0,66,0.0152
35452985,Alvin & The Chipmunks,Sing Again With The Chipmunks,Swanee River,christmas,1960,0,107960,,99.655,10,1,0.675,0.487,-8.919,0.0558,0.718,0.0376,0.0709,0.812,17.0,66,0.2576
96799809,The Brothers Four,B.M.O.C. (Best Music On/Off Campus),Sweet Rosyanne,folk,1960,0,192000,,118.506,1,1,0.433,0.162,-18.373,0.0313,0.682,2.48e-06,0.227,0.485,15.0,66,0.2273
4549167,Odetta,Odetta Sings the Ballad for Americans and Other American Ballads,Pastures of Plenty,folk,1960,0,240480,,79.387,8,1,0.371,0.245,-8.97,0.0377,0.934,0.00571,0.116,0.571,6.0,66,0.0909
